CC-H-G-002	8500	24	4500	6000	21000	
CC-H-L-003	8500	24	4500	6000	21000	
CC-H-L-004	8500	24	4500	6000	21000	
CC-H-G-006	8500	24	4500	6000	21000	
CC-K-G-001	8500	24	4500	6000	21000	
CC-K-G-005	8500	24	4500	6000	21000	
FV-H-D-002	13000	24	6500	8000	30000	
FV-K-D-001	13000	24	6500	8000	30000	
FV-SY-D-003	13000	24	6500	8000	30000	
HC-C-G-002	10000	24	5000	6000	23000	
HC-H-G-001	10000	24	5000	6000	23000	
HC-H-G-003	10000	24	5000	6000	23000	
HC-K-G-001	10000	24	5000	6000	23000	
IC-B-G-002	12000	24	6000	7000	25000	
IC-B-G-001	12000	24	6000	7000	25000	
IC-B-G-003	12000	24	6000	7000	25000	
MC-C-G-001	9500	24	5000	6000	22000	
MC-H-L-002	9500	24	5000	6000	22000	
MC-K-L-003	9500	24	5000	6000	22000	
MC-LS-G-004	9500	24	5000	6000	22000	
RUV-C-D-002	11000	24	6000	7000	24000	
RUV-H-D-001	11000	24	6000	7000	24000	
RUV-H-D-007	11000	24	6000	7000	24000	
RUV-K-D-005	11000	24	6000	7000	24000	
RUV-K-D-006	11000	24	6000	7000	24000	
RUV-K-D-009	11000	24	6000	7000	24000	
RUV-LS-D-003	11000	24	6000	7000	24000	
RUV-SY-G-004	11000	24	6000	7000	24000	
RUV-SY-D-008	11000	24	6000	7000	24000	
SC-C-EV-002	7500	24	4500	5500	20000	
SC-K-EV-001	7500	24	4500	5500	20000	
SC-K-EV-003	7500	24	4500	5500	20000	
